x,test,training
2500,0.82964,0.82048
5000,0.83744,0.82776
7500,0.83764,0.82668
10000,0.83344,0.82316
12500,0.83204,0.82232
15000,0.83712,0.82636
17500,0.83548,0.82508
20000,0.83608,0.82532
22500,0.83884,0.82744
25000,0.83956,0.82756
