x,test,training
2500,0.8524,0.85472
5000,0.83216,0.83864
7500,0.81848,0.82144
10000,0.83072,0.8348
12500,0.81496,0.81888
15000,0.79016,0.79664
17500,0.80248,0.80784
20000,0.79072,0.79536
22500,0.79024,0.798
25000,0.79552,0.80064
