x,test,training
2500,0.7608,0.77888
5000,0.81856,0.83064
7500,0.82936,0.8444
10000,0.79544,0.816
12500,0.82,0.8376
15000,0.85432,0.87144
17500,0.83992,0.85632
20000,0.85344,0.87208
22500,0.85816,0.87848
25000,0.85848,0.87648
