x,test,training
2500,0.8375165125495376,0.842797783933518
5000,0.8298459042984591,0.8373387096774193
7500,0.8204336815447927,0.8254477203409712
10000,0.8245293971307737,0.8316347329800244
12500,0.8158879248587121,0.8222082613475734
15000,0.8028116072771012,0.8107927056196502
17500,0.8096082665021591,0.8167251640470014
20000,0.8030713640469738,0.809941303217178
22500,0.8035807925687317,0.8130460536058048
25000,0.807631519530368,0.8146936347412255
