x,test,training
2500,0.7808721143275925,0.7944675788221297
5000,0.8209944751381215,0.8319841269841269
7500,0.8274830152054351,0.8407434700728732
10000,0.8024109419673905,0.8193953670985473
12500,0.8190882045509367,0.8345018751019078
15000,0.8443323645067533,0.8610462602680502
17500,0.8336934840425532,0.8489994955439718
20000,0.8436326391259815,0.8614504808942033
22500,0.8478242210969016,0.8678440925700366
25000,0.8489712285494749,0.8663434903047091
